ＮＯ,受注,ベース,材質,種別１,種別２,ＪＡＮ,表示,デザイン,すみ分け,付加,付加,産地,銘柄,ＫＧ,画像,詳細
9,1245346,565,小袋大,家紋シリーズ,,―,表示,デザイン,終了,―,―,秋田県,あきたこまち,5,https://www.dropbox.com/scl/fi/lbjlc209b1j5lhyutk80v/1245346A.jpg?rlkey=f8n42rvh82lv6iqn6p7mze6zb&st=m0m89ybd&dl=0,
10,1240057,565,小袋大,家紋シリーズ,ガイドライン入,―,表示,デザイン,定番化,特栽米,―,秋田県,あきたこまち,5,https://www.dropbox.com/scl/fi/2dlnbkz70eyy40b1j2vg0/1240057A.jpg?rlkey=d4zw6g3o39w5xfxr49gko94cl&st=j44p36ek&dl=0,
11,1231018,565,小袋大,家紋シリーズ,,―,―,デザイン,終了,―,オモテ,石川県,ひゃくまん穀,5,https://www.dropbox.com/scl/fi/h12jx6a30b2ct0l9na9h1/1231018A.jpg?rlkey=kbxt75azwrq6p6j6j00uqy38u&st=rjbfwk2l&dl=0,
12,1231019,566,小袋小,↑表示,,―,表示,―,終了,―,ウラ,石川県,ひゃくまん穀,5,https://www.dropbox.com/scl/fi/395s85a85lr7wpvwfa36m/1231019A.jpg?rlkey=7jl802bprrlq4yd6a5ai1buyb&st=cjdjhg3o&dl=0,
13,1244594,565,小袋大,家紋シリーズ,,―,表示,デザイン,定番化,―,―,香川県,姫ごのみ,2,https://www.dropbox.com/scl/fi/3fg0htyrdxsm8q0io4txl/1244594A.jpg?rlkey=ybxj1maoiv2h1gzbz3w90onc1&st=788my79s&dl=0,
14,1244598,565,小袋大,家紋シリーズ,,―,表示,デザイン,定番化,―,―,香川県,姫ごのみ,5,https://www.dropbox.com/scl/fi/q6043xtsc77gx4cxvbs6c/1244598A.jpg?rlkey=vayldei1kpcwaqj939ztjhc17&st=j9xw3ac7&dl=0,
15,1152287,565,小袋大,家紋シリーズ,,―,―,デザイン,定番化,―,オモテ,香川県まんのう町,姫ごのみ,2,https://www.dropbox.com/scl/fi/pmkgmf86fxb7a8ztd9xb5/1152287A.jpg?rlkey=c5bnyk9n15y9hhsetgeoj1dub&st=gkwns942&dl=0,
16,1152294,566,小袋小,↑表示,,―,表示,―,定番化,―,ウラ,香川県まんのう町,姫ごのみ,2,https://www.dropbox.com/scl/fi/cpi5802h3qtsxx6dzr29s/1152294A.jpg?rlkey=huy56jvkq369mlk1536bcpvpy&st=0cv5iw4a&dl=0,
17,1152283,565,小袋大,家紋シリーズ,,―,―,デザイン,定番化,―,オモテ,香川県まんのう町,姫ごのみ,5,https://www.dropbox.com/scl/fi/mbrimjjwc7u2k48ttipsg/1152283A.jpg?rlkey=msoeidiexwigr5gbcpefwtng0&st=zyw4yp36&dl=0,
18,1152293,566,小袋小,↑表示,,―,表示,―,定番化,―,ウラ,香川県まんのう町,姫ごのみ,5,https://www.dropbox.com/scl/fi/retyt4si3k1fqw8816muc/1152293A.jpg?rlkey=ap33giozisrt5beu3chj4d6ld&st=hxm4p607&dl=0,
19,1167274,565,小袋大,家紋シリーズ,,―,―,デザイン,スポット中心,―,オモテ,岐阜県飛騨高山産,コシヒカリ,5,https://www.dropbox.com/scl/fi/h48m2vni5kj1hfqarzw0c/1167274A.jpg?rlkey=qylo6o6841dffsd3g6lvph47o&st=s93ahgzl&dl=0,
20,1168071,566,小袋小,↑表示,,―,表示,―,スポット中心,―,ウラ,岐阜県飛騨高山産,コシヒカリ,5,https://www.dropbox.com/scl/fi/6nncgtuslvxt35rfiyukr/1168071A.jpg?rlkey=ld4o2rkvdlladp1zb08gmwcyp&st=87fvqp0w&dl=0,
21,1180748,565,小袋大,家紋シリーズ,,―,―,デザイン,終了,特栽米,オモテ,京都府,コシヒカリ,3,https://www.dropbox.com/scl/fi/f245n3imr448voignq5b3/1180748A.jpg?rlkey=dysbyhotunyrcs3z45ycbecxz&st=j8pu3jyg&dl=0,
22,1180749,594,小袋中,↑ガイド・表示,,―,表示,ガイドライン,終了,―,ウラ,京都府,コシヒカリ,3,https://www.dropbox.com/scl/fi/gnlum51yqxwqc7rwkmkk5/1180749A.jpg?rlkey=5w2iksdsfczg1bu1r6ntfv0v5&st=1ybriywr&dl=0,
23,1170330,565,小袋大,家紋シリーズ,,―,―,デザイン,スポット中心,―,オモテ,京都府,ヒノヒカリ,2,https://www.dropbox.com/scl/fi/zjmh1d4quspenuo6kk1m9/1170330A.jpg?rlkey=6edsj9wllgxcac3s5x861kd3i&st=scdvfsat&dl=0,
24,1170333,566,小袋小,↑表示,,―,表示,―,スポット中心,―,ウラ,京都府,ヒノヒカリ,2,https://www.dropbox.com/scl/fi/pv08te62g4s8fm6o0aqun/1170333C.jpg?rlkey=fxdanc1lyypm2f9ri65grdp3g&st=m9zqgllq&dl=0,
25,1169352,565,小袋大,家紋シリーズ,,―,―,デザイン,終了,特栽米,オモテ,京都府丹後,コシヒカリ,5,https://www.dropbox.com/scl/fi/ls3t3j5k4zxwfvpgxf7hm/1169352A.jpg?rlkey=y4y94t5g0362a98vqnx3xyzh3&st=7y4gyzof&dl=0,
26,1169357,594,小袋中,↑ガイド・表示,,―,表示,ガイドライン,終了,―,ウラ,京都府丹後,コシヒカリ,5,https://www.dropbox.com/scl/fi/n7e9j1mu3l1p8lq6f84x4/1169357A.jpg?rlkey=7n9fddpaq0kja1k4zcto7nq00&st=kr5wxma3&dl=0,
27,1242848,565,小袋大,家紋シリーズ,,―,―,デザイン,終了,―,オモテ,京都府与謝野町,コシヒカリ,5,https://www.dropbox.com/scl/fi/7ivyuwjblqwibh67tgcwq/1242848A.jpg?rlkey=3sok51i1x1j5m165lu1t7mq11&st=9avbn1xb&dl=0,
28,1242849,565,小袋大,↑表示,,―,表示,―,終了,―,ウラ,京都府与謝野町,コシヒカリ,5,https://www.dropbox.com/scl/fi/b3c6peqvbqjoj5zbw7yvf/1242849A.jpg?rlkey=ldbq82mjkxw3sv7yx5ac6emic&st=t7ftlvet&dl=0,
29,1244581,565,小袋大,家紋シリーズ,,―,表示,デザイン,定番化,―,―,熊本県,森のくまさん,2,https://www.dropbox.com/scl/fi/5ffflqyyduu4qrbsz5ap0/1244581A.jpg?rlkey=sh3z9qkk80umc8u1pium95n9a&st=55171fwq&dl=0,
30,1201496,565,小袋大,家紋シリーズ,使用禁止,―,―,デザイン,定番化,―,オモテ,熊本県,森のくまさん,4,https://www.dropbox.com/scl/fi/04nh4fr6jylwk3mwd1gpr/1201496A.jpg?rlkey=z0h9pypackueascjwwm0gzt9s&st=1j59hzzq&dl=0,
31,1201497,566,小袋小,↑表示,使用禁止,―,表示,―,定番化,―,ウラ,熊本県,森のくまさん,4,https://www.dropbox.com/scl/fi/n1y5flwb8ohgvrkk8dwbz/1201497A.jpg?rlkey=u6puixpncoftuvjfrlwhmbkjw&st=m8v6tuni&dl=0,
32,1244585,565,小袋大,家紋シリーズ,,―,表示,デザイン,定番化,―,―,熊本県,森のくまさん,4,https://www.dropbox.com/scl/fi/idn1hlqcvl7r75f79ig53/1244585A.jpg?rlkey=7ihbj9ejyzdcexovuw48nf92f&st=dtoon6vu&dl=0,
33,1229058,565,小袋大,家紋シリーズ,,―,―,デザイン,スポット中心,新米,オモテ,高知県,コシヒカリ,5,https://www.dropbox.com/scl/fi/fkublskcsja6uhfm9eyrj/1229058A.jpg?rlkey=bjfu67t7d93oua2npijlh4shg&st=1og5dqxo&dl=0,
34,1229059,566,小袋小,↑表示,,―,表示,―,スポット中心,―,ウラ,高知県,コシヒカリ,5,https://www.dropbox.com/scl/fi/cgbhzdujl74dytelmeqf2/1229059A.jpg?rlkey=0ntycb3b08zwa2jsijxa1c5be&st=3dsw3ql6&dl=0,
35,1195653,565,小袋大,家紋シリーズ,,―,―,デザイン,終了,―,オモテ,埼玉県,コシヒカリ,5,https://www.dropbox.com/scl/fi/3l1smxsi4bj72r8qtfw4w/1195653A.jpg?rlkey=viwy3m14x08e4khen5dtr447x&st=7dgss8nq&dl=0,
36,1195655,566,小袋小,↑表示,,―,表示,―,終了,―,ウラ,埼玉県,コシヒカリ,5,https://www.dropbox.com/scl/fi/vfxv0agx1ed3q5di3xxvb/1195655A.jpg?rlkey=xqkoqdv3da1nwrnnw1anfaolm&st=zd3mm8f1&dl=0,
37,1022509,別注,上質,家紋シリーズ,Ａ５,―,表示,デザイン,定番化,無洗米,―,島根県仁多郡,コシヒカリ,3,https://www.dropbox.com/scl/fi/trt3c2k99id42bomgk148/1022509A.jpg?rlkey=ajxb97rk7w1tes8vkuz2c092h&st=ht4cn52k&dl=0,
38,1201498,565,小袋大,家紋シリーズ,使用禁止,―,―,デザイン,定番化,―,オモテ,島根県仁多郡,コシヒカリ,5,https://www.dropbox.com/scl/fi/6d2engvq85rt6jqt2n16f/1201498A.jpg?rlkey=54gxjf4ze4u3iucipjjg6vvbw&st=ysrjklwk&dl=0,
39,1201499,566,小袋小,↑表示,使用禁止,―,表示,―,定番化,―,ウラ,島根県仁多郡,コシヒカリ,5,https://www.dropbox.com/scl/fi/zkm6n9c52wsyp00mhjioy/1201499A.jpg?rlkey=hidh2zwylmhup9lx1wuowp0w3&st=mvm8x8de&dl=0,
40,1246064,565,小袋大,家紋シリーズ,,―,表示,デザイン,定番化,―,―,島根県仁多郡,コシヒカリ,5,https://www.dropbox.com/scl/fi/ai6xd1js8ej4shz1792qf/1246064A.jpg?rlkey=v9od6n41dqm9lqo6r1bn7duob&st=kdeuaysr&dl=0,
41,1250387,594,小袋中,家紋シリーズ,,―,―,デザイン,,―,―,新潟県,コシヒカリ,1,https://www.dropbox.com/scl/fi/ufirgi9zvllqxzyga79du/1250387A.jpg?rlkey=k1tsx4nzm2r0yhzjwz1safsjr&st=6gr092ak&dl=0,
42,1244577,565,小袋大,家紋シリーズ,ＪＡ北新潟,―,表示,デザイン・ガイド,定番化,特栽米,―,新潟県,コシヒカリ,2,https://www.dropbox.com/scl/fi/wlti9ees0q3fnh7gghwf3/1244577A.jpg?rlkey=zhmp2dypnwd2tenvdgg980tnt&st=l5unfsc5&dl=0,
43,1249348,565,小袋大,家紋シリーズ,エディオンｘ象印,―,表示,デザイン,,―,―,新潟県,コシヒカリ,3,https://www.dropbox.com/scl/fi/0irzqnjidfhiajwoq94m5/1249348A.jpg?rlkey=5rgkb8een5tb39ky84j0kt72r&st=ji1sbri5&dl=0,
44,1040422,565,小袋大,家紋シリーズ,使用禁止,―,―,デザイン,終了,―,オモテ,新潟県,コシヒカリ,5,https://www.dropbox.com/scl/fi/hux0cbldr8q3qqnj6zq60/1040422A.jpg?rlkey=lo2y1hblovm00iyrlx3suy79m&st=fl6t9uhd&dl=0,
45,1040410,566,小袋小,↑表示,使用禁止,―,表示,―,終了,―,ウラ,新潟県,コシヒカリ,5,https://www.dropbox.com/scl/fi/i8s804motfl1wfkcrcnib/1040410A.jpg?rlkey=y1zd82pffzrjih3yinth6ib9z&st=stca68cn&dl=0,
46,1245349,565,小袋大,家紋シリーズ,,―,表示,デザイン,定番化,―,―,新潟県,コシヒカリ,5,https://www.dropbox.com/scl/fi/pz61ggaz4hy0lreicni2l/1245349A.jpg?rlkey=yd7ysl4assapy38i74pky56h2&st=lzw4nicu&dl=0,
47,1240054,565,小袋大,家紋シリーズ,ＪＡ北新潟,―,表示,デザイン・ガイド,定番化,特栽米,―,新潟県,コシヒカリ,5,https://www.dropbox.com/scl/fi/e683nzyvshngj1k0khdgw/1240054A.jpg?rlkey=o6jfddc5ny22bk85unvlshpy8&st=cuyknvfu&dl=0,
48,80535,565,小袋大,家紋シリーズ,使用禁止,―,―,デザイン,終了,無洗米,オモテ,新潟県魚沼,コシヒカリ,2,https://www.dropbox.com/scl/fi/w0agg5fp3u1u09vfwnu98/80535A.jpg?rlkey=zrrlzy1aom2w67lcb3ta63n2x&st=bzdijt3l&dl=0,
49,80539,566,小袋小,↑表示,使用禁止,―,表示,―,終了,―,ウラ,新潟県魚沼,コシヒカリ,2,https://www.dropbox.com/scl/fi/4qky9mfkw5bj85h9o4xk0/80539A.jpg?rlkey=6guqvq866f629099kuob9fk30&st=twss3g8z&dl=0,
50,1244607,565,小袋大,家紋シリーズ,,―,表示,デザイン,定番化,無洗米,―,新潟県魚沼,コシヒカリ,2,https://www.dropbox.com/scl/fi/x6i6j0gwe15cu9o6ezs2n/1244607A.jpg?rlkey=7j8oq509bce5ujwuyc2mk9vz2&st=19dnfp9h&dl=0,
51,1198312,565,小袋大,家紋シリーズ,,―,―,デザイン,終了,―,オモテ,新潟県魚沼,コシヒカリ,3,https://www.dropbox.com/scl/fi/txu5vqc5m77h2q74kura1/1198312A.jpg?rlkey=c5za5y248kt9837994jtqtt5o&st=8zsbdfvk&dl=0,
52,1080066,566,小袋小,↑表示,,―,表示,―,終了,―,ウラ,新潟県魚沼,コシヒカリ,3,https://www.dropbox.com/scl/fi/3zylvwp4fpvrct1q7gc3q/1080066A.jpg?rlkey=92ejh4zlkp7kot6blbd5t3orm&st=vwjvs4no&dl=0,
53,1198315,565,小袋大,家紋シリーズ,使用禁止,―,―,デザイン,終了,特栽米,オモテ,新潟県魚沼,コシヒカリ,3,https://www.dropbox.com/scl/fi/e93zn99ahgddi2ykswhvw/1198315A.jpg?rlkey=170g89mox5bieahglkjjh1eea&st=72vh8tvl&dl=0,
54,1198700,565,小袋大,↑ガイド・表示,使用禁止,―,表示,ガイドライン,終了,―,ウラ,新潟県魚沼,コシヒカリ,3,https://www.dropbox.com/scl/fi/unx7f0fw5oolpxa256ozx/1198700A.jpg?rlkey=qpy84cipfkwz39qpf6fukdcgb&st=r9c08kkq&dl=0,
55,1244579,565,小袋大,家紋シリーズ,,―,表示,デザイン・ガイド,スポット中心,特栽米,―,新潟県魚沼,コシヒカリ,3,https://www.dropbox.com/scl/fi/d31yvd5ge2bqg9u5frvj4/1244579A.jpg?rlkey=j8o8atlzy32hq3vdme5cdm8pe&st=ilfr29hg&dl=0,
56,1198316,565,小袋大,家紋シリーズ,,―,―,デザイン,終了,特栽米,オモテ,新潟県魚沼,コシヒカリ,4,https://www.dropbox.com/scl/fi/1xa4t90d7vvs671u9wu57/1198316A.jpg?rlkey=o4ykrg2iuv0hhmtcw8ypjbapg&st=cj6ccwrj&dl=0,
57,1198698,594,小袋中,↑ガイド・表示,,―,表示,ガイドライン,終了,―,ウラ,新潟県魚沼,コシヒカリ,4,https://www.dropbox.com/scl/fi/29t38libl263nlzg93le0/1198698A.jpg?rlkey=7vlyrkvpyy1lwbtcrtbobptos&st=48266q2l&dl=0,
58,1233884,別注,上質,家紋シリーズ,Ａ５,―,―,デザイン,終了,無洗米,オモテ,新潟県魚沼,コシヒカリ,4,https://www.dropbox.com/scl/fi/87f809myxc2is485nw8ti/1233884A.jpg?rlkey=wg2b8vn6oginr8gsdangwkkdl&st=xwo09d2z&dl=0,
59,1080068,566,小袋小,↑表示,,―,表示,―,終了,―,ウラ,新潟県魚沼,コシヒカリ,4,https://www.dropbox.com/scl/fi/m2a59e7nd2uex58h35gi7/1080068A.jpg?rlkey=3siue9infvnkwzhfzbjko8ng3&st=naxi8ueu&dl=0,
60,1040424,565,小袋大,家紋シリーズ,使用禁止,―,―,デザイン,終了,―,オモテ,新潟県魚沼,コシヒカリ,5,https://www.dropbox.com/scl/fi/nwmomrdcnvwm52hgco2rj/1040424A.jpg?rlkey=n4pt3lank7kkprueev0cekti0&st=frqtj0qs&dl=0,
61,1022594,566,小袋小,↑表示,使用禁止,―,表示,―,終了,―,ウラ,新潟県魚沼,コシヒカリ,5,https://www.dropbox.com/scl/fi/un2cml603f76dqsh0yod0/1022594A.jpg?rlkey=4ofw1l6jtwm5u9gip8snm1e5z&st=s1d2926y&dl=0,
62,1245342,565,小袋大,家紋シリーズ,,―,表示,デザイン,定番化,―,―,新潟県魚沼,コシヒカリ,5,https://www.dropbox.com/scl/fi/p9432dnfis1lzgr8jjj9m/1245342A.jpg?rlkey=ap5mhyy3ye9o3p3ntzetn7bq6&st=08vbecqq&dl=0,
63,1022510,別注,上質,家紋シリーズ,Ａ５,―,表示,デザイン,定番化,無洗米,―,新潟県魚沼,コシヒカリ,5,https://www.dropbox.com/scl/fi/7h9np99kfjgwzexy5j5mz/1022510A.jpg?rlkey=41x3aejalgwslrf567wgpyvgh&st=n07kk2o8&dl=0,
64,1208641,別注,上質,家紋シリーズ,Ａ５,―,―,デザイン,スポット中心,有機栽培米,オモテ,新潟県魚沼津南町,コシヒカリ,5,https://www.dropbox.com/scl/fi/bnflja8ceyd7yha4xmzry/1208641A.jpg?rlkey=luj2syw1goe82pi9cjlpmphrv&st=rse8jl7d&dl=0,
65,1208643,566,小袋小,↑表示,,―,表示,―,スポット中心,―,ウラ,新潟県魚沼津南町,コシヒカリ,5,https://www.dropbox.com/scl/fi/aaek35rq0wsizccc930jy/1208643A.jpg?rlkey=qm49oi8pav2h7gme9o6cc7g5i&st=xvvun4ho&dl=0,
66,1080750,565,小袋大,家紋シリーズ,,―,―,デザイン,終了,有機栽培米,オモテ,兵庫県丹波市,コシヒカリ,2,https://www.dropbox.com/scl/fi/tt98tio8ql6nbg5ya1wv5/1080750A.jpg?rlkey=os4hyvh6czvr4y5aqqyly085b&st=hnln51qx&dl=0,
67,1080753,566,小袋小,↑表示・ＪＡＮ,,JＡＮ,表示,―,終了,―,ウラ,兵庫県丹波市,コシヒカリ,2,https://www.dropbox.com/scl/fi/nk915lx9dsoftwjho1k2p/1080753A.jpg?rlkey=91q74q4j4nwxa0hdxht8cm3dt&st=2t6yne91&dl=0,
68,1168361,565,小袋大,家紋シリーズ,,―,―,デザイン,スポット中心,―,オモテ,福井県,いちほまれ,5,https://www.dropbox.com/scl/fi/ac8gpb5h677i2zowo5uo9/1168361A.jpg?rlkey=mkbfkuyhbn0j6cx5f5sb36m2e&st=5z0vg74t&dl=0,
69,1168363,566,小袋小,↑表示,,―,表示,―,スポット中心,―,ウラ,福井県,いちほまれ,5,https://www.dropbox.com/scl/fi/10akf6an1kf135jib56mz/1168363A.jpg?rlkey=hb3hduh1iovc8o8931gzw2ai5&st=xm1ln4bj&dl=0,
70,1244584,565,小袋大,家紋シリーズ,,―,表示,デザイン・ガイド,定番化,特栽米,―,福井県,コシヒカリ,3,https://www.dropbox.com/scl/fi/1mq8e74og27z0wu81r3kt/1244584A.jpg?rlkey=okmciin5pf8nh16i6ptamxkha&st=5ysxw0v8&dl=0,
71,1234072,565,小袋大,家紋シリーズ,,―,表示,デザイン,終了,―,―,福井県,ハナエチゼン,0.45,https://www.dropbox.com/scl/fi/32jzi9177vwa6fst6kogd/1234072A.jpg?rlkey=kgmfkszk1xw1v38zrdvz6rflw&st=es4syzex&dl=0,
72,1253318,594,小袋中,家紋シリーズ,,―,表示,デザイン,,新米,―,福井県,ハナエチゼン,1,https://www.dropbox.com/scl/fi/r08hvmkdz8nil5hmqtstp/1253318A.jpg?rlkey=fx5cmb6x5wmn2n99u7aczos68&st=0myf5q3e&dl=0,
73,1234076,565,小袋大,家紋シリーズ,,―,表示,デザイン,終了,―,―,福井県,ハナエチゼン,1,https://www.dropbox.com/scl/fi/501sfrm2ay3aomvzyhkpp/1234076A.jpg?rlkey=re4mc6ad4m4j2k13ao6l3onj2&st=8it5xz9q&dl=0,
74,1175833,565,小袋大,家紋シリーズ,,―,―,デザイン,終了,―,オモテ,福井県,ハナエチゼン,5,https://www.dropbox.com/scl/fi/su212g6drtg3myq13fvxd/1175833A.jpg?rlkey=pdsbr0tw7tk8d9japocatsjr0&st=rc8uq1sj&dl=0,
75,1175837,566,小袋小,↑表示,,―,表示,―,終了,―,ウラ,福井県,ハナエチゼン,5,https://www.dropbox.com/scl/fi/4e0qmrwlcx718a2kld8yr/1175837A.jpg?rlkey=wnojeuwji2fshd79cwluwmuqq&st=8p8iie31&dl=0,
76,1160496,565,小袋大,家紋シリーズ,,―,―,デザイン,終了,―,オモテ,福島県会津,コシヒカリ,5,https://www.dropbox.com/scl/fi/rlyme4bg31i5h1759zrbu/1160496A.jpg?rlkey=f83q6ce25ebbamz47mhnlx6ov&st=ysj9kziu&dl=0,
77,1160499,566,小袋小,↑表示,,―,表示,―,終了,―,ウラ,福島県会津,コシヒカリ,5,https://www.dropbox.com/scl/fi/nhhd69si83ydlu4mxw55k/1160499A.jpg?rlkey=0gafrpa0xhqywqvtejcinbgzi&st=4v7ayscw&dl=0,
78,1253485,565,小袋大,家紋シリーズ,,―,表示,デザイン,,―,―,北海道,ななつぼし,2,https://www.dropbox.com/scl/fi/9i8xhe2zlvjftf7we91vv/1253485A.jpg?rlkey=nv8mtcb7xy2doorfe7d45e3ts&st=86qs8tc7&dl=0,
79,1175834,565,小袋大,家紋シリーズ,,―,表示,デザイン,,―,―,北海道,ななつぼし,5,https://www.dropbox.com/scl/fi/hp49c3ts1vt682xt6ya9q/1175834A.jpg?rlkey=lyxm72xzz4grfl1vwafzum4zz&st=7k4s7yuy&dl=0,
80,1175836,566,小袋小,↑表示,使用禁止,―,表示,―,スポット中心,―,ウラ,北海道,ななつぼし,5,https://www.dropbox.com/scl/fi/t9qvpktphy8onxyjbrygq/1175836A.jpg?rlkey=cnwc677k8fqo5wxlo4mb27eae&st=qelcocfn&dl=0,
81,79865,565,小袋大,家紋シリーズ,,―,表示,デザイン,,―,―,北海道,ゆめぴりか,2,https://www.dropbox.com/scl/fi/80mycka39br19fegk2jlq/79865A.jpg?rlkey=fzj072ypkrz4cpfxpbkxs4q6r&st=89wmn9x6&dl=0,
82,80536,566,小袋小,↑表示,使用禁止,―,表示,―,定番化,―,ウラ,北海道,ゆめぴりか,2,https://www.dropbox.com/scl/fi/ip5xm6kfx6ydq8xxpkazx/80536A.jpg?rlkey=fry8ir440viloby9k8me9t7yg&st=mdlsgpb1&dl=0,
83,1244578,565,小袋大,家紋シリーズ,,―,表示,デザイン,定番化,―,―,北海道,ゆめぴりか,3,https://www.dropbox.com/scl/fi/kv6rf0o03yprqjktxk1ax/1244578A.jpg?rlkey=krytbf321g9xlzngbwp1odegb&st=df0o84bc&dl=0,
84,1040427,565,小袋大,家紋シリーズ,使用禁止,―,―,デザイン,終了,―,オモテ,北海道,ゆめぴりか,5,https://www.dropbox.com/scl/fi/nynh2vvagsdhx5pghesbl/1040427A.jpg?rlkey=3xw0qkdnyho02emtepzzkx9wr&st=mh07fmcs&dl=0,
85,1022595,566,小袋小,↑表示,使用禁止,―,表示,―,終了,―,ウラ,北海道,ゆめぴりか,5,https://www.dropbox.com/scl/fi/9t2f7uvu8oo4ji8udi3eh/1022595A.jpg?rlkey=ajuehbgau5qja5n7d3g6ahdzm&st=2v87jowj&dl=0,
86,1245344,565,小袋大,家紋シリーズ,,―,表示,デザイン,定番化,―,―,北海道,ゆめぴりか,5,https://www.dropbox.com/scl/fi/lr9yjyhvqusfx3cy7m4s0/1245344A.jpg?rlkey=6iiybzh8d1x60qi11q4doepsm&st=h18y4jc6&dl=0,
87,1155290,別注,上質,家紋シリーズ,Ａ５,―,―,デザイン,終了,―,オモテ,北海道,ゆめぴりか,5,https://www.dropbox.com/scl/fi/rjq51rw0mkxob0novuhnq/1155290A.jpg?rlkey=6hyu5mlf3x6zniijovz3k5r20&st=fgw1go7a&dl=0,
88,1022595,566,小袋小,↑表示,,―,表示,―,終了,―,ウラ,北海道,ゆめぴりか,5,https://www.dropbox.com/scl/fi/9t2f7uvu8oo4ji8udi3eh/1022595A.jpg?rlkey=ajuehbgau5qja5n7d3g6ahdzm&st=2v87jowj&dl=0,
89,1022511,別注,上質,家紋シリーズ,Ａ５,―,―,デザイン,終了,無洗米,オモテ,北海道,ゆめぴりか,5,https://www.dropbox.com/scl/fi/4lmsfrsyuhtwvwtf0dfup/1022511A.jpg?rlkey=hmyh5zp2bvnyb2xcc2hck9muj&st=nhhauik2&dl=0,
90,1022595,566,小袋小,↑表示,,―,表示,―,終了,―,ウラ,北海道,ゆめぴりか,5,https://www.dropbox.com/scl/fi/9t2f7uvu8oo4ji8udi3eh/1022595A.jpg?rlkey=ajuehbgau5qja5n7d3g6ahdzm&st=2v87jowj&dl=0,
91,1052932,565,小袋大,家紋シリーズ,,―,―,デザイン,スポット中心,有機栽培米,オモテ,宮城県,ササニシキ,2,https://www.dropbox.com/scl/fi/64x201lk3jl3q56e9zp2j/1052932A.jpg?rlkey=02j10vc91i53ax9peubbjacow&st=0aicw30i&dl=0,
92,1052933,566,小袋小,↑表示,,―,表示,―,スポット中心,―,ウラ,宮城県,ササニシキ,2,https://www.dropbox.com/scl/fi/pq39vfqfboete6q1fmgvn/1052933A.jpg?rlkey=dgsqvv397kuiibg63v3jyw6x7&st=twyc1ti7&dl=0,
93,1156629,565,小袋大,家紋シリーズ,,―,―,デザイン,スポット中心,有機栽培米,オモテ,宮城県,ササニシキ,5,https://www.dropbox.com/scl/fi/yydfgz7psth9k3yn0ss7o/1156629A.jpg?rlkey=wbuvic8xqxqdhxu9pa7jh3bvd&st=w2wfg0o0&dl=0,
94,1156611,566,小袋小,↑表示,,―,表示,―,スポット中心,―,ウラ,宮城県,ササニシキ,5,https://www.dropbox.com/scl/fi/txjttqw1xw6c8tlqwqsu5/1156611A.jpg?rlkey=y8lawmjad8pgi4j136901kq1a&st=eb7g0qvs&dl=0,
95,1247193,565,小袋大,家紋シリーズ,脱酸素剤,―,表示,デザイン,,有機栽培米,―,宮城県,ひとめぼれ,2,https://www.dropbox.com/scl/fi/tlvdxt5mrut8vtxaic5ve/1247193A.jpg?rlkey=00pbcu2v4z5k5yfqglzmn91ck&st=ik04jbfi&dl=0,
96,1065474,565,小袋大,家紋シリーズ,,―,―,デザイン,スポット中心,有機栽培米,オモテ,宮城県,ひとめぼれ,2,https://www.dropbox.com/scl/fi/0gw0utdle42gzvyj6bc7v/1065474A.jpg?rlkey=9ur33rex271s6eqtyzoco4mn0&st=b86i6lcx&dl=0,
97,1065475,566,小袋小,↑表示,,―,表示,―,スポット中心,―,ウラ,宮城県,ひとめぼれ,2,https://www.dropbox.com/scl/fi/go77dwnhlehrk0cagkxdj/1065475A.jpg?rlkey=cxtqun2gfcava8r8yspq53s3z&st=u0o4tyii&dl=0,
98,1250904,565,小袋大,家紋シリーズ,,―,表示,デザイン,,―,―,宮城県,ひとめぼれ,3,https://www.dropbox.com/scl/fi/42hr3nlf5ii616vlvsjc5/1250904A.jpg?rlkey=oca6fxvk8yeab5tlff9cxmdrd&st=h41rzowl&dl=0,
99,1122539,565,小袋大,家紋シリーズ,,―,―,デザイン,スポット中心,有機栽培米,オモテ,宮城県,ひとめぼれ,5,https://www.dropbox.com/scl/fi/nmbhkhsj4brl5z8rn1pkg/1122539A.jpg?rlkey=gzgc7do4k7q1d60gmjnjnxfgq&st=p5kl9fm7&dl=0,
100,1122542,566,小袋小,↑表示,,―,表示,―,スポット中心,―,ウラ,宮城県,ひとめぼれ,5,https://www.dropbox.com/scl/fi/gzvaahwei25a8pqjdmotc/1122542A.jpg?rlkey=92c8ppzi1c18nt5ndatm865ek&st=1t7c20l6&dl=0,
101,1021313,565,小袋大,家紋シリーズ,共通,―,表示,デザイン・ガイド,定番化,特栽米,オモテ,山形県,つや姫,5,https://www.dropbox.com/scl/fi/yqy3fr2o1cvj27d70k4v2/1021313A.jpg?rlkey=or48zrj92lb22i9alehy2n0rr&st=5tr9agw8&dl=0,
102,1021315,566,小袋小,↑表示（おきたま）,,―,表示,ガイドライン,定番化,―,ウラ,山形県,つや姫,5,https://www.dropbox.com/scl/fi/d6vncpiozje1xfiqxpt5l/1021315A.jpg?rlkey=9h9a384s7qpoi67ysqr4m3vg6&st=socq5403&dl=0,
